            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
  58       2          2    0.999    0.004     1.00   52.032   0.134   2.723   0.029     0.00136         0.08254  0.01022             -       -             -            -             -
  59       1          1    0.932    0.000     0.93   30.261   0.000   1.667   0.000     0.00136         0.16430  0.00000             -       -             -            -             -
  60       1          1    0.919    0.000     0.92   37.863   0.000   1.509   0.000     0.00133         0.16080  0.00000             -       -             -            -             -
  61       1          1    0.902    0.000     0.90   32.716   0.000   1.422   0.000     0.00129         0.15590  0.00000             -       -             -            -             -
  62       1          1    0.962    0.000     0.96   33.164   0.000   1.297   0.000     0.00122         0.14760  0.00000             -       -             -            -             -
  63       1          1    1.024    0.000     1.02   53.767   0.000   2.499   0.000     0.00116         0.14046  0.00000             -       -             -            -             -
  64       1          1    0.905    0.000     0.91   36.520   0.000   1.279   0.000     0.00110         0.13314  0.00000             -       -             -            -             -
  65       1          1    0.971    0.000     0.97   31.129   0.000   1.472   0.000     0.00102         0.12362  0.00000             -       -             -            -             -
  66       1          1    1.024    0.000     1.02   46.134   0.000   2.001   0.000     0.00102         0.12306  0.00000             -       -             -            -             -
  67       1          1    0.903    0.000     0.90   58.810   0.000   2.416   0.000     0.00100         0.12079  0.00000             -       -             -            -             -
  68       1          1    0.990    0.000     0.99   35.645   0.000   1.964   0.000     0.00094         0.11428  0.00000             -       -             -            -             -
  69       1          1    0.962    0.000     0.96   37.660   0.000   1.684   0.000     0.00090         0.10926  0.00000             -       -             -            -             -
  70       1          1    1.003    0.000     1.00   43.457   0.000   2.359   0.000     0.00090         0.10875  0.00000             -       -             -            -             -
  71       1          1    0.910    0.000     0.91   35.596   0.000   1.852   0.000     0.00090         0.10861  0.00000             -       -             -            -             -
  72       1          1    0.994    0.000     0.99   52.395   0.000   2.340   0.000     0.00089         0.10712  0.00000             -       -             -            -             -
  73       1          1    0.901    0.000     0.90   40.911   0.000   2.549   0.000     0.00084         0.10107  0.00000             -       -             -            -             -
  74       1          1    0.915    0.000     0.91   34.692   0.000   1.598   0.000     0.00080         0.09688  0.00000             -       -             -            -             -
  75       1          1    0.935    0.000     0.94   34.060   0.000   1.666   0.000     0.00080         0.09660  0.00000             -       -             -            -             -
  76       1          1    0.907    0.000     0.91   45.455   0.000   2.006   0.000     0.00078         0.09401  0.00000             -       -             -            -             -
  77       1          1    0.942    0.000     0.94   49.406   0.000   1.975   0.000     0.00075         0.09085  0.00000             -       -             -            -             -
  78       1          1    0.903    0.000     0.90   61.868   0.000   2.222   0.000     0.00067         0.08061  0.00000             -       -             -            -             -
  79       2          2    0.908    0.007     0.92   76.807   1.875   3.706   0.063     0.00065         0.03950  0.00603             -       -             -            -             -
  80       1          1    0.982    0.000     0.98   48.639   0.000   2.601   0.000     0.00065         0.07851  0.00000             -       -             -            -             -
  81       1          1    0.903    0.000     0.90   39.157   0.000   1.835   0.000     0.00065         0.07839  0.00000             -       -             -            -             -
  82       1          1    0.903    0.000     0.90   41.822   0.000   2.635   0.000     0.00063         0.07628  0.00000             -       -             -            -             -
  83       1          1    0.907    0.000     0.91   34.985   0.000   1.813   0.000     0.00058         0.06989  0.00000             -       -             -            -             -
  84       1          1    0.906    0.000     0.91   43.504   0.000   1.860   0.000     0.00058         0.06986  0.00000             -       -             -            -             -
  85       1          1    0.907    0.000     0.91   43.388   0.000   2.332   0.000     0.00056         0.06803  0.00000             -       -             -            -             -
  86       1          1    0.912    0.000     0.91   54.799   0.000   2.017   0.000     0.00053         0.06424  0.00000             -       -             -            -             -
  87       1          1    0.950    0.000     0.95   47.408   0.000   2.586   0.000     0.00050         0.06064  0.00000             -       -             -            -             -
  88       1          1    0.994    0.000     0.99   49.296   0.000   2.158   0.000     0.00047         0.05652  0.00000             -       -             -            -             -
  89       1          1    0.995    0.000     1.00   64.874   0.000   3.081   0.000     0.00045         0.05497  0.00000             -       -             -            -             -
  90       1          1    0.941    0.000     0.94   46.752   0.000   1.956   0.000     0.00043         0.05242  0.00000             -       -             -            -             -
  91       1          1    0.995    0.000     1.00   68.440   0.000   2.622   0.000     0.00043         0.05223  0.00000             -       -             -            -             -
  92       1          1    0.936    0.000     0.94   52.267   0.000   2.114   0.000     0.00039         0.04756  0.00000             -       -             -            -             -
  93       1          1    0.995    0.000     1.00   79.083   0.000   2.721   0.000     0.00027         0.03258  0.00000             -       -             -            -             -
  94       1          1    0.910    0.000     0.91   46.828   0.000   1.492   0.000     0.00025         0.02972  0.00000             -       -             -            -             -
  95       1          1    0.904    0.000     0.90   53.728   0.000   1.558   0.000     0.00019         0.02348  0.00000             -       -             -            -             -
  96       1          1    0.903    0.000     0.90   72.951   0.000   2.444   0.000     0.00018         0.02193  0.00000             -       -             -            -             -
  97       1          1    0.907    0.000     0.91   56.177   0.000   2.037   0.000     0.00016         0.01975  0.00000             -       -             -            -             -
  98       1          1    0.903    0.000     0.90   80.918   0.000   2.570   0.000     0.00009         0.01039  0.00000             -       -             -            -             -



-----------------------------------------------------------------------
 Thank you for using CAVER, please cite:

 Chovancova, E., Pavelka, A., Benes, P., Strnad, O., Brezovsky, J.,
 Kozlikova, B., Gora, A., Sustr, V., Klvana, M., Medek, P.,
 Biedermannova, L., Sochor, J. Damborsky, J. (2012) CAVER 3.0: A Tool
 for the Analysis of Transport Pathways in Dynamic Protein Structures.
 PLoS Comput Biol 8: e1002708. doi:10.1371/journal.pcbi.1002708
-----------------------------------------------------------------------
